"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2026","681.15","694.24","695.31","680.39","107.58M","-1.56%"
"02/11/2026","691.96","696.39","697.14","689.18","76.35M","-0.02%"
"02/10/2026","692.12","694.95","696.54","691.66","65.19M","-0.26%"
"02/09/2026","693.95","689.42","695.87","688.34","73.89M","0.48%"
"02/06/2026","690.62","681.46","692.31","680.85","89.13M","1.92%"
"02/05/2026","677.62","680.94","683.69","675.79","113.61M","-1.25%"
"02/04/2026","686.19","690.35","691.45","681.76","105.20M","-0.48%"
"02/03/2026","689.53","696.21","696.96","684.03","107.90M","-0.85%"
"02/02/2026","695.41","689.58","696.93","689.58","79.29M","0.50%"
"01/30/2026","691.97","691.79","694.21","687.12","101.84M","-0.30%"
"01/29/2026","694.04","696.39","697.06","684.83","97.49M","-0.20%"
"01/28/2026","695.42","697.05","697.84","693.94","61.17M","-0.01%"
"01/27/2026","695.49","694.18","696.53","693.57","55.51M","0.40%"
"01/26/2026","692.73","690.49","694.13","689.92","60.47M","0.51%"
"01/23/2026","689.23","688.15","690.96","687.16","63.06M","0.04%"
"01/22/2026","688.98","689.85","691.13","686.92","77.11M","0.52%"
"01/21/2026","685.40","679.65","688.73","678.13","127.84M","1.15%"
"01/20/2026","677.58","681.49","684.77","676.57","111.62M","-2.04%"
"01/16/2026","691.66","693.66","694.25","690.10","79.29M","-0.08%"
"01/15/2026","692.24","694.57","695.45","691.25","77.86M","0.27%"
"01/14/2026","690.36","691.00","691.72","686.04","94.68M","-0.49%"
"01/13/2026","693.77","695.49","696.09","691.35","78.31M","-0.20%"
"01/12/2026","695.16","690.68","696.09","690.63","63.98M","0.16%"
"01/09/2026","694.07","690.63","695.31","689.18","80.13M","0.66%"
"01/08/2026","689.51","688.82","690.61","687.49","64.02M","-0.01%"
"01/07/2026","689.58","692.19","693.96","689.32","75.59M","-0.32%"
"01/06/2026","691.81","687.93","692.32","687.78","69.27M","0.59%"
"01/05/2026","687.72","686.54","689.43","686.38","71.93M","0.67%"
"01/02/2026","683.17","685.71","686.87","679.82","89.38M","0.18%"
"12/31/2025","681.92","687.14","687.36","681.71","74.14M","-0.74%"
"12/30/2025","687.01","687.45","688.55","686.58","47.16M","-0.12%"
"12/29/2025","687.85","687.54","689.20","686.07","62.56M","-0.36%"
"12/26/2025","690.31","690.64","691.66","689.27","41.61M","-0.01%"
"12/25/2025","690.38","687.95","690.38","690.38","39.45M","0.00%"
"12/24/2025","690.38","687.95","690.83","687.80","39.45M","0.35%"
"12/23/2025","687.96","683.92","688.20","683.87","64.84M","0.46%"
"12/22/2025","684.83","683.94","685.36","680.59","69.56M","0.62%"
"12/19/2025","680.59","676.59","681.09","676.47","103.60M","0.61%"
"12/18/2025","676.47","677.60","680.74","674.90","108.65M","0.76%"
"12/17/2025","671.40","679.89","680.43","671.20","110.63M","-1.10%"
"12/16/2025","678.87","679.23","681.08","674.98","122.03M","-0.27%"
"12/15/2025","680.73","685.74","685.76","679.25","90.81M","-0.15%"
"12/12/2025","681.76","688.17","688.88","679.17","113.16M","-1.08%"
"12/11/2025","689.17","685.14","689.25","682.16","86.17M","0.23%"
"12/10/2025","687.57","682.56","688.97","681.31","85.67M","0.66%"
"12/09/2025","683.04","683.15","685.39","682.59","58.31M","-0.09%"
"12/08/2025","683.63","686.59","686.64","681.57","55.23M","-0.30%"
"12/05/2025","685.69","685.47","688.39","684.58","79.24M","0.19%"
"12/04/2025","684.39","685.30","685.37","681.34","61.97M","0.07%"
"12/03/2025","683.89","680.57","684.91","679.69","57.24M","0.35%"
"12/02/2025","681.53","681.92","683.82","679.33","62.95M","0.19%"
"12/01/2025","680.27","678.81","682.99","678.74","61.20M","-0.46%"
"11/28/2025","683.39","680.86","683.66","680.50","49.21M","0.55%"
"11/26/2025","679.68","677.63","681.70","676.72","71.88M","0.69%"
"11/25/2025","675.02","668.63","676.21","664.48","81.08M","0.94%"
"11/24/2025","668.73","662.69","670.06","661.59","80.44M","1.47%"
"11/21/2025","659.03","655.05","664.55","650.85","123.96M","1.00%"
"11/20/2025","652.53","672.91","675.56","651.89","165.29M","-1.52%"
"11/19/2025","662.63","660.78","667.34","658.74","94.70M","0.39%"
"11/18/2025","660.08","662.09","665.12","655.86","114.47M","-0.84%"
"11/17/2025","665.67","669.70","673.71","662.17","90.46M","-0.93%"
"11/14/2025","671.93","665.38","675.66","663.27","96.85M","-0.02%"
"11/13/2025","672.04","680.50","680.86","670.52","103.46M","-1.66%"
"11/12/2025","683.38","684.79","684.96","680.95","62.31M","0.06%"
"11/11/2025","683.00","679.95","683.57","678.73","58.95M","0.23%"
"11/10/2025","681.44","677.23","682.18","675.03","75.84M","1.56%"
"11/07/2025","670.97","667.91","671.08","661.21","100.59M","0.10%"
"11/06/2025","670.31","676.47","677.38","668.72","85.04M","-1.07%"
"11/05/2025","677.58","674.98","680.86","674.17","74.40M","0.35%"
"11/04/2025","675.24","676.11","679.96","674.58","78.43M","-1.19%"
"11/03/2025","683.34","685.67","685.80","679.94","57.32M","0.19%"
"10/31/2025","682.06","685.04","685.08","679.24","87.16M","0.33%"
"10/30/2025","679.83","683.90","685.94","679.83","76.34M","-1.10%"
"10/29/2025","687.39","688.72","689.70","682.87","85.36M","0.05%"
"10/28/2025","687.06","687.05","688.91","684.83","61.74M","0.27%"
"10/27/2025","685.24","682.73","685.54","682.11","63.34M","1.18%"
"10/24/2025","677.25","676.46","678.47","675.65","74.36M","0.82%"
"10/23/2025","671.76","668.12","672.71","667.80","65.60M","0.59%"
"10/22/2025","667.80","672.00","672.00","663.30","80.56M","-0.52%"
"10/21/2025","671.29","671.44","672.99","669.98","56.25M","0.00%"
"10/20/2025","671.30","667.32","672.21","667.27","60.49M","1.04%"
"10/17/2025","664.39","659.50","665.76","658.14","96.50M","0.57%"
"10/16/2025","660.64","666.82","668.71","657.11","110.56M","-0.68%"
"10/15/2025","665.17","666.82","670.23","658.93","81.70M","0.44%"
"10/14/2025","662.23","657.17","665.83","653.17","88.78M","-0.12%"
"10/13/2025","663.04","660.65","665.13","659.77","79.56M","1.53%"
"10/10/2025","653.02","672.13","673.95","652.84","159.42M","-2.70%"
"10/09/2025","671.16","673.53","673.94","669.21","66.50M","-0.29%"
"10/08/2025","673.11","670.25","673.21","669.42","60.70M","0.60%"
"10/07/2025","669.12","672.54","672.99","667.67","72.02M","-0.37%"
"10/06/2025","671.61","671.62","672.51","669.46","54.62M","0.36%"
"10/03/2025","669.21","669.99","672.67","668.16","70.49M","0.00%"
"10/02/2025","669.22","670.45","670.57","666.78","56.90M","0.12%"
"10/01/2025","668.45","663.17","669.37","663.06","72.55M","0.34%"
"09/30/2025","666.18","662.93","666.65","661.61","86.29M","0.38%"
"09/29/2025","663.68","664.36","665.28","661.86","73.50M","0.28%"
"09/26/2025","661.82","659.51","662.37","657.88","69.18M","0.57%"
"09/25/2025","658.05","657.94","659.41","654.41","89.62M","-0.46%"
"09/24/2025","661.10","664.51","664.61","659.67","68.08M","-0.32%"
"09/23/2025","663.21","666.72","667.34","661.98","81.71M","-0.54%"
"09/22/2025","666.84","662.20","667.29","662.17","69.45M","0.47%"
"09/19/2025","663.70","662.33","664.55","660.37","97.95M","0.22%"
"09/18/2025","662.26","661.89","664.89","660.27","90.46M","0.47%"
"09/17/2025","659.18","660.01","661.72","654.30","101.95M","-0.12%"
"09/16/2025","660.00","661.47","661.78","659.21","61.17M","-0.14%"
"09/15/2025","660.91","659.64","661.04","659.34","63.77M","0.53%"
"09/12/2025","657.41","657.60","659.11","656.90","72.78M","-0.03%"
"09/11/2025","657.63","654.18","658.33","653.59","69.93M","0.83%"
"09/10/2025","652.21","653.62","654.55","650.63","78.03M","0.29%"
"09/09/2025","650.33","648.97","650.86","647.22","66.13M","0.23%"
"09/08/2025","648.83","648.62","649.84","647.23","63.13M","0.25%"
"09/05/2025","647.24","651.48","652.21","643.33","85.18M","-0.29%"
"09/04/2025","649.12","644.42","649.15","643.51","65.22M","0.84%"
"09/03/2025","643.74","642.67","644.21","640.46","70.82M","0.54%"
"09/02/2025","640.27","637.50","640.49","634.92","81.98M","-0.74%"
"08/29/2025","645.05","647.47","647.84","643.14","74.52M","-0.60%"
"08/28/2025","648.92","647.24","649.48","645.34","61.52M","0.35%"
"08/27/2025","646.63","644.57","647.37","644.42","48.34M","0.23%"
"08/26/2025","645.16","642.20","645.51","641.57","51.58M","0.42%"
"08/25/2025","642.47","644.04","645.29","642.35","51.27M","-0.44%"
"08/22/2025","645.31","637.76","646.50","637.25","84.08M","1.54%"
"08/21/2025","635.55","636.28","637.97","633.81","54.81M","-0.40%"
"08/20/2025","638.11","639.40","639.66","632.95","88.89M","-0.27%"
"08/19/2025","639.81","643.12","644.10","638.48","69.75M","-0.54%"
"08/18/2025","643.30","642.86","644.00","642.18","43.80M","-0.02%"
"08/15/2025","643.44","645.99","646.09","642.52","68.59M","-0.23%"
"08/14/2025","644.95","642.79","645.62","642.34","59.33M","0.01%"
"08/13/2025","644.89","644.91","646.19","642.68","60.09M","0.34%"
"08/12/2025","642.69","638.29","642.85","636.79","64.82M","1.06%"
"08/11/2025","635.92","637.46","638.95","634.66","58.74M","-0.20%"
"08/08/2025","637.18","634.06","637.65","633.74","64.05M","0.78%"
"08/07/2025","632.25","636.24","636.98","629.11","74.21M","-0.08%"
"08/06/2025","632.78","629.05","633.44","628.13","64.36M","0.77%"
"08/05/2025","627.97","631.79","632.61","627.04","68.05M","-0.51%"
"08/04/2025","631.17","625.67","631.22","625.58","73.22M","1.52%"
"08/01/2025","621.72","626.30","626.34","619.29","140.10M","-1.64%"
"07/31/2025","632.08","639.46","639.85","630.77","103.39M","-0.38%"
"07/30/2025","634.46","635.92","637.68","631.54","80.42M","-0.13%"
"07/29/2025","635.26","638.35","638.67","634.34","60.56M","-0.26%"
"07/28/2025","636.94","637.48","638.04","635.54","54.92M","-0.03%"
"07/25/2025","637.10","635.09","637.58","634.84","56.87M","0.42%"
"07/24/2025","634.42","634.60","636.15","633.99","71.31M","0.03%"
"07/23/2025","634.21","631.55","634.21","629.73","70.51M","0.85%"
"07/22/2025","628.86","629.10","629.73","626.19","60.05M","0.01%"
"07/21/2025","628.77","628.77","631.54","628.34","63.37M","0.19%"
"07/18/2025","627.58","629.30","629.47","626.46","65.62M","-0.07%"
"07/17/2025","628.04","624.40","628.40","624.18","68.89M","0.61%"
"07/16/2025","624.22","623.74","624.73","618.05","88.99M","0.33%"
"07/15/2025","622.14","627.52","627.86","622.06","74.32M","-0.43%"
"07/14/2025","624.81","623.16","625.16","621.80","51.90M","0.19%"
"07/11/2025","623.62","622.74","624.86","621.53","63.67M","-0.35%"
"07/10/2025","625.82","624.20","626.87","623.01","57.53M","0.28%"
"07/09/2025","624.06","622.77","624.72","620.91","66.11M","0.60%"
"07/08/2025","620.34","621.35","622.11","619.52","59.02M","-0.05%"
"07/07/2025","620.68","623.36","624.03","617.87","74.81M","-0.75%"
"07/03/2025","625.34","622.45","626.28","622.43","51.07M","0.79%"
"07/02/2025","620.45","617.24","620.49","616.61","66.51M","0.45%"
"07/01/2025","617.65","616.36","618.83","615.52","70.03M","-0.03%"
"06/30/2025","617.85","617.38","619.22","615.04","92.50M","0.48%"
"06/27/2025","614.91","612.88","616.39","610.83","86.26M","0.50%"
"06/26/2025","611.87","608.99","612.31","608.37","78.55M","0.78%"
"06/25/2025","607.12","607.91","608.61","605.54","62.11M","0.06%"
"06/24/2025","606.78","604.33","607.85","603.41","67.74M","1.10%"
"06/23/2025","600.15","595.04","600.54","591.89","87.43M","0.99%"
"06/20/2025","594.28","598.38","599.46","592.86","94.05M","-0.53%"
"06/18/2025","597.44","598.44","601.22","596.47","76.61M","-0.02%"
"06/17/2025","597.53","600.21","601.75","596.76","82.21M","-0.85%"
"06/16/2025","602.68","600.40","604.45","600.22","79.98M","0.95%"
"06/13/2025","597.00","598.50","601.85","595.48","89.51M","-1.12%"
"06/12/2025","603.75","600.01","603.75","599.52","64.13M","0.40%"
"06/11/2025","601.36","604.19","605.06","599.27","73.66M","-0.29%"
"06/10/2025","603.08","600.22","603.47","599.09","66.25M","0.57%"
"06/09/2025","599.68","599.72","601.25","598.49","53.02M","0.09%"
"06/06/2025","599.14","598.66","600.83","596.86","66.59M","1.03%"
"06/05/2025","593.05","597.63","599.00","591.05","92.44M","-0.48%"
"06/04/2025","595.93","596.96","597.95","595.49","57.31M","-0.03%"
"06/03/2025","596.09","592.34","597.08","591.85","63.61M","0.57%"
"06/02/2025","592.71","587.76","592.79","585.06","61.63M","0.56%"
"05/30/2025","589.39","588.93","591.13","583.23","90.60M","-0.11%"
"05/29/2025","590.05","593.06","593.20","586.07","70.07M","0.39%"
"05/28/2025","587.73","591.56","592.77","586.98","68.45M","-0.58%"
"05/27/2025","591.15","586.07","591.31","578.43","72.59M","2.08%"
"05/23/2025","579.11","575.98","581.81","575.60","76.03M","-0.68%"
"05/22/2025","583.09","582.66","586.62","581.41","70.86M","0.04%"
"05/21/2025","582.86","588.44","592.58","581.82","95.20M","-1.69%"
"05/20/2025","592.85","593.09","594.05","589.60","60.61M","-0.34%"
"05/19/2025","594.85","588.10","595.54","588.10","68.17M","0.11%"
"05/16/2025","594.20","591.25","594.50","589.28","76.05M","0.63%"
"05/15/2025","590.46","585.56","590.97","585.10","71.27M","0.49%"
"05/14/2025","587.59","587.81","588.98","585.53","66.28M","0.13%"
"05/13/2025","586.84","583.41","589.08","582.84","67.95M","0.66%"
"05/12/2025","582.99","581.47","583.00","577.04","78.99M","3.30%"
"05/09/2025","564.34","566.48","567.50","562.76","37.60M","-0.13%"
"05/08/2025","565.06","565.24","570.31","561.70","65.13M","0.70%"
"05/07/2025","561.15","560.15","563.82","556.04","55.73M","0.42%"
"05/06/2025","558.80","557.93","563.35","556.96","48.26M","-0.84%"
"05/05/2025","563.51","562.57","566.65","561.70","38.66M","-0.57%"
"05/02/2025","566.76","564.73","568.38","562.38","60.72M","1.48%"
"05/01/2025","558.47","560.37","564.07","557.86","63.19M","0.71%"
"04/30/2025","554.54","547.57","556.52","541.52","93.10M","0.04%"
"04/29/2025","554.32","548.91","555.45","548.55","47.78M","0.63%"
"04/28/2025","550.85","551.39","553.55","545.02","47.61M","0.04%"
"04/25/2025","550.64","546.65","551.05","543.69","61.12M","0.72%"
"04/24/2025","546.69","536.72","547.43","535.45","64.15M","2.10%"
"04/23/2025","535.42","540.43","545.43","533.88","90.59M","1.55%"
"04/22/2025","527.25","520.14","529.30","519.19","75.95M","2.60%"
"04/21/2025","513.88","521.16","521.70","508.46","69.37M","-2.38%"
"04/17/2025","526.41","527.64","531.16","523.91","79.87M","0.14%"
"04/16/2025","525.66","531.68","537.89","520.29","83.48M","-2.22%"
"04/15/2025","537.61","539.67","543.23","536.81","56.89M","-0.28%"
"04/14/2025","539.12","544.05","544.28","533.86","68.03M","0.97%"
"04/11/2025","533.94","523.01","536.43","520.07","97.87M","1.78%"
"04/10/2025","524.58","532.17","533.49","509.32","162.33M","-4.38%"
"04/09/2025","548.62","493.44","548.62","493.05","241.87M","10.50%"
"04/08/2025","496.48","521.86","524.98","489.16","165.82M","-1.57%"
"04/07/2025","504.38","489.19","523.17","481.80","256.61M","-0.18%"
"04/04/2025","505.28","523.67","525.87","505.06","217.97M","-5.85%"
"04/03/2025","536.70","545.11","547.97","536.70","125.99M","-4.93%"
"04/02/2025","564.52","555.05","567.42","554.81","76.01M","0.63%"
"04/01/2025","560.97","557.45","562.94","553.68","54.61M","0.28%"
"03/31/2025","559.39","549.83","560.71","546.87","95.33M","0.67%"
"03/28/2025","555.66","565.53","566.27","555.07","71.66M","-2.01%"
"03/27/2025","567.08","567.18","570.90","564.94","42.16M","-0.27%"
"03/26/2025","568.59","575.19","576.33","567.19","52.23M","-1.19%"
"03/25/2025","575.46","575.30","576.41","573.69","38.36M","0.24%"
"03/24/2025","574.08","570.80","575.15","570.20","58.77M","1.79%"
"03/21/2025","563.98","559.28","564.89","558.03","83.76M","-0.27%"
"03/20/2025","565.49","563.33","570.57","562.60","62.96M","-0.29%"
"03/19/2025","567.13","562.83","570.95","561.63","66.56M","1.09%"
"03/18/2025","561.02","564.80","565.02","559.06","66.04M","-1.08%"
"03/17/2025","567.15","562.79","569.71","562.35","49.01M","0.77%"
"03/14/2025","562.81","556.11","563.83","551.49","62.66M","2.07%"
"03/13/2025","551.42","558.49","559.10","549.68","74.08M","-1.33%"
"03/12/2025","558.87","562.17","563.11","553.69","69.59M","0.53%"
"03/11/2025","555.92","559.40","564.02","552.02","88.10M","-0.83%"
"03/10/2025","560.58","567.59","569.54","555.59","99.33M","-2.66%"
"03/07/2025","575.92","570.90","577.39","565.63","81.16M","0.56%"
"03/06/2025","572.71","575.48","580.17","570.12","80.09M","-1.78%"
"03/05/2025","583.06","576.69","584.88","573.08","71.23M","1.07%"
"03/04/2025","576.86","579.71","585.39","572.25","109.65M","-1.18%"
"03/03/2025","583.77","596.18","597.34","579.90","74.25M","-1.75%"
"02/28/2025","594.18","585.56","594.72","582.44","88.74M","1.56%"
"02/27/2025","585.05","596.85","598.02","584.65","74.20M","-1.60%"
"02/26/2025","594.54","595.93","599.58","591.86","43.32M","0.05%"
"02/25/2025","594.24","597.15","597.89","589.56","58.27M","-0.50%"
"02/24/2025","597.21","602.02","603.03","596.49","50.74M","-0.46%"
"02/21/2025","599.94","610.16","610.30","599.47","76.52M","-1.71%"
"02/20/2025","610.38","611.54","611.68","607.02","36.55M","-0.42%"
"02/19/2025","612.93","610.08","613.23","609.56","31.01M","0.24%"
"02/18/2025","611.49","610.88","611.49","608.38","26.75M","0.29%"
"02/14/2025","609.70","609.94","610.99","609.07","26.91M","0.00%"
"02/13/2025","609.73","604.48","609.94","603.20","40.92M","1.06%"
"02/12/2025","603.36","599.20","604.55","598.51","45.08M","-0.32%"
"02/11/2025","605.31","602.55","605.86","602.43","30.06M","0.08%"
"02/10/2025","604.85","604.03","605.50","602.74","26.05M","0.68%"
"02/07/2025","600.77","606.89","608.13","600.05","50.79M","-0.92%"
"02/06/2025","606.32","605.99","606.45","602.63","35.77M","0.35%"
"02/05/2025","604.22","600.64","604.37","598.58","30.65M","0.41%"
"02/04/2025","601.78","597.83","602.30","597.28","33.46M","0.67%"
"02/03/2025","597.77","592.67","600.29","590.49","65.86M","-0.67%"
"01/31/2025","601.82","607.50","609.96","601.05","66.67M","-0.53%"
"01/30/2025","605.04","603.96","606.60","600.72","39.28M","0.54%"
"01/29/2025","601.81","603.72","604.13","599.22","37.18M","-0.45%"
"01/28/2025","604.52","600.62","605.37","597.25","44.43M","0.86%"
"01/27/2025","599.37","594.81","599.69","594.64","70.36M","-1.41%"
"01/24/2025","607.97","609.81","610.78","606.80","34.60M","-0.29%"
"01/23/2025","609.75","605.80","609.75","605.52","41.15M","0.55%"
"01/22/2025","606.44","605.92","607.82","605.36","48.20M","0.56%"
"01/21/2025","603.05","600.67","603.06","598.67","42.53M","0.92%"
"01/17/2025","597.58","596.96","599.36","595.61","58.07M","1.00%"
"01/16/2025","591.64","594.17","594.35","590.93","43.32M","-0.19%"
"01/15/2025","592.78","590.33","593.94","589.20","56.90M","1.82%"
"01/14/2025","582.19","584.36","585.00","578.35","48.42M","0.14%"
"01/13/2025","581.39","575.77","581.75","575.35","47.91M","0.16%"
"01/10/2025","580.49","585.88","585.95","578.55","73.11M","-1.53%"
"01/08/2025","589.49","588.70","590.58","585.20","47.30M","0.15%"
"01/07/2025","588.63","597.42","597.75","586.78","60.39M","-1.13%"
"01/06/2025","595.36","596.27","599.70","593.60","47.68M","0.58%"
"01/03/2025","591.95","587.53","592.60","586.43","37.89M","1.25%"
"01/02/2025","584.64","589.39","591.13","580.50","50.20M","-0.25%"